time,com,angle,finger
17:38:26.340,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.340,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.341,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.342,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.342,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.364,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.365,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.366,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.367,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.368,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.369,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.370,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.371,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.372,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.373,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.373,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.374,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.396,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.397,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.399,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.401,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.403,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.405,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.408,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.410,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.412,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.413,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.414,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.416,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.442,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.443,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.444,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.445,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.446,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.447,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.448,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.449,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.449,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.450,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.451,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.452,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.473,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.474,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.475,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.476,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.477,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.478,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.479,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.480,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.481,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.482,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.483,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.483,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.504,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.505,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.506,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.506,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.507,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.508,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
